hru,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
Alfalfa and alfalfa mixtures,838.843340881471,45965.7202282986,265.881928012186,21.4431143079724,1.29428127385001,1.39431324881143,1294.28127385001,0.0970437491786956,24.2609372946739,18.3366846904956,39.115978979382,101.087238727808,125.454851668935,3848,5333
Almonds,1199.016377198,157927.235756954,200.305231980685,62.4204285980942,1.75414512456,0.413631991662914,1754.14512456,3.88658136441956,54.5263190219968,7.13419351415349,261.059727092223,227.192995924987,281.959067857589,23031,5281
Apples,99.6351582124476,1815.40426049719,19.2904644988639,0.696692308601675,0.228168938883143,0.0242656831449719,228.168938883143,0.22004716675796,15.2905949169745,0.825572791910854,4.3188180992326,46.9962677660006,58.3249663931644,669,295
Beans,130.564210585008,3546.01833601297,156.250299459294,3.09746681757236,0.259882790359755,0.0223942261010452,259.882790359755,0.0801963911260541,4.64597748099185,2.26099628554524,3.63372789440219,37.8423290905564,37.8694210205203,73,175
Bush berries,88.750443874285,393.509352744136,3.79840820010479,0.0787553527113462,0.10527010287767,0.00132208446054796,105.27010287767,0.00561437484403248,0.0447975359805862,0.181465190755338,5.71448777908682,0.0783956879660259,0.124939069115671,26,0
Carrots,25.9426494330089,387.685117703214,23.82734715969,0.168554459536184,0.0498471189502834,0.00333383229716703,49.8471189502834,0.00185449129163016,1.65718588801203,0.259776203338329,0.24449525020078,0.0720515603483491,0.519414397683406,2,0
Cherries,189.494948023785,13306.4827192089,17.203421548448,4.20393978684237,0.397104685739699,0.0283053134574364,397.104685739699,0.74108697642304,5.78458374774701,1.38191227661455,10.6999290758188,13.2397314822126,16.4312387017512,2414,106
Cole crops,8.19757699062005,267.776050635115,14.2245139303125,0.189531832512018,0.0113744792733218,0.00159082165286846,11.3744792733218,0.00536651307834149,1.04675185456282,0.00778216658523113,0.0457859439215938,11.0267549847384,11.0346492153779,2,25
"Corn, sorghum, and sudan",839.499915838115,11716.4955412322,101.189679366875,12.8936757306517,1.42216825243377,0.057254499756621,1422.16825243377,0.12734301011044,7.05223023325496,3.04983287991498,1.40127456644742,29.3842926385623,36.4675316168602,402,784
Cotton,6.04659715004664,22.496221153852,0.448163423216153,0.00133062358007879,0.00904667311745676,0.000138233179129584,9.04667311745676,0.000728940582490964,0.00172295046770592,0.0231077935712233,0.010617094343535,0.0154539111453846,0.0154812684793308,0,0
Fallow,779.40104153978,19433.3360363941,100.996455085131,6.53246042848447,0.498779408538832,0.121396179691893,498.779408538832,0.29728783565748,8.14211178794983,3.67527119953508,5.86442682940868,31.2514203362696,31.2737937290117,767,1709
"Flowers, nursery, and Christmas trees",1020.50359939358,15930.3626350446,327.501051725911,11.9703047595565,1.55774790619672,1.39332610359974,1557.74790619672,0.968605066238314,15.9248649815215,9.09329203111105,26.5878219786157,17.692685484535,21.9576007913734,2006,413
Grapes,2984.90586264417,150270.941554657,1181.6958569701,91.2263791952908,3.18348993488764,1.55635998299988,3183.48993488764,0.900563692463891,102.428773291161,48.8152827275549,890.867008592866,426.786555379836,529.66570927557,37290,4573
Greenhouse,117.218635306146,451.20100402467,269.538194241782,0.68783944776879,0.224497082593301,0.0249964748301621,224.497082593301,0.261926877104969,13.4769097120891,0.342519762368037,26.8193512835915,0.985088689095575,13.5416861026068,323,0
Kiwis,20.3301356993749,21.5409833786386,0.55122869054262,0.00184752917652219,0.040925809912966,0.000913572681694819,40.925809912966,0.00220491476217048,0.00765595403531417,0.00141213604772521,0.393734778959014,0.000681904755813606,0.00173862097556227,0,0
Lettuce or leafy greens,1.06707795001074,2.67462022437956,0.429602864585037,0.0020670510233717,0.00208959495855053,2.66525003522152e-05,2.08959495855053,0.000440344340986893,0.000771228674285506,0.00160066328625294,8.72528081557777e-05,0.000332175986865283,0.00278075415800681,0,0
"Melons, squash, and cucumbers",85.6394415786707,3602.36504039691,149.152066445332,2.82473548581063,0.145723159556791,0.0427448794910653,145.723159556791,0.1660596208727,1.51565300605893,1.64884199201728,1.14732358804101,11.2443037068483,11.2523536841049,95,84
Misc. agriculture,205.020547947632,3543.40374988414,68.1183831469139,0.768699507215411,0.297780039227971,0.0172773876674122,297.780039227971,0.0225907421441976,2.22745242726016,1.63450663749195,1.49810701391247,7.81606633046912,7.82166197763743,35,16
Misc. citrus and subtropical fruit,25.2937188183179,7.84355933571897,0.675162626975233,0.0040126761553955,0.024694959066869,0.000176151939900266,24.694959066869,0.000330325958986829,0.000118449583679865,0.250060232213049,0.0368941326215974,0.000632884271809278,0.000161988076125007,0,0
Misc. deciduous,16.6643986680834,153.127649248622,1.72098195721138,0.0280913389046784,0.0184429385093151,0.00531582168778469,18.4429385093152,0.071232268443487,0.512496947374909,0.0931498895030215,0.354314614700023,2.13540394739546,2.65015435029447,0,7
Misc. field crops,39.5411050224892,156.811784776827,45.058528994734,0.307099160504715,0.054719491191736,0.0604171333133437,54.719491191736,0.0178076042256252,0.0526511615530951,1.28843254103053,0.591982518851864,0.0463899085429021,0.288285453097011,8,0
"Misc. grain, hay, and forage",376.51727787979,3593.13151985716,736.440313368888,20.7557199067733,0.400391288141487,0.0606220168959986,400.391288141487,0.243252855870573,2.78290578735233,4.15767497584675,5.11713843181138,4.87008512786657,7.76144604603012,42,3
Misc. truck crops,86.1769703271275,1607.87668482462,90.942844958301,1.43173480917509,0.128675533853086,0.0380564939550424,128.675533853086,0.0282048660797315,8.23041994874755,1.30262779945878,0.806728918204041,7.03084559902881,8.72566807476467,31,87
Olives,233.497005133988,1499.87848893048,10.0705472588164,0.267023013495818,0.415708080656373,0.0182013042687817,415.708080656373,0.175328693475623,1.57352300919007,7.22986759947924,17.5995634135895,0.0774657481447417,1.67238136661565,198,0
Onions and garlic,44.1906115903647,1017.62388217127,4.66534092388313,0.164045152889082,0.0695870444929998,0.00494502257902532,69.5870444929998,0.0396501929583199,4.20712044714069,0.20920920905729,0.271180219428469,17.5296685297529,21.7552877384194,58,173
Peaches and nectarines,39.6726662560641,1879.9162975855,18.8443978052755,1.13064201098233,0.0695779708541342,0.0114483174261055,69.5779708541342,0.3426753253821,3.40915758767084,0.308116948598537,4.21584472616102,14.2048232819618,17.6289709784281,566,152
Pears,110.601162233878,478.060981238551,15.7167837539804,0.27452346137929,0.21748432267096,0.000382599611279426,217.48432267096,0.00913349985016814,13.1111031939148,2.44128457656015,3.76457757160008,0.570047964952819,2.40940226995891,269,0
Peppers,51.2243650206014,797.008430545472,7.61720806695493,0.291588741520299,0.0993978265832173,0.00398886960706474,99.3978265832173,0.0232085244133221,0.925313614945624,0.448071062762054,0.466229944875141,5.71967742045496,5.72377222919995,0,11
Pistachios,55.9085415834773,1462.33692228859,5.59178849817125,0.164444597551555,0.114847588534576,0.00598537293826688,114.847588534576,0.0114042849047589,0.14067674575244,0.173250334871002,4.19134989500905,0.118034280891265,0.159129204663637,675,0
"Plums, prunes, or apricots",321.132341938083,4018.89632057467,162.382867361697,1.49544170864744,0.476283412364996,0.0435643263547068,476.283412364996,1.4285330512129,4.84164327326974,1.86808168235533,22.0641449566746,20.1735136386239,25.0364456782674,1665,13
Pomegranates,3.77084086057869,27.0813821441655,1.34799123226924,0.0121168961365165,0.00756216380660073,0.00196978195500394,7.56216380660073,0.00213966862264959,0.177367267403847,0.0225169653699339,0.0548127271290963,0.0421247260084137,0.00971639820377052,0,0
Potatoes,156.076481688233,1561.58106707447,59.9965704798934,0.999085552590066,0.287665808230668,0.00514684312605157,287.665808230668,0.137194797458064,18.4470288654023,2.80037130392529,1.2866570855873,76.8626202725095,95.390760955871,270,396
Rice,369.942090441423,3377.76286936499,388.764275467539,11.6609008416834,0.708443158286093,0.0209292078995437,708.443158286093,0.0719933843458405,3.96284494754093,3.53422068606853,5.08828105935088,1.31172707073353,4.21181515004711,88,1
Safflower,86.4722305027479,1241.16420099168,27.867660883659,0.340863059478765,0.153284743750445,0.0049369670669532,153.284743750445,0.00434674771197079,0.212070799173226,0.364488726624493,0.394239908760141,6.28111541833823,6.28561216954509,0,20
Strawberries,88.9011644826098,22.7115553830334,14.8379916413903,0.00407569801357048,0.0844916451687485,0.0014256862753665,84.4916451687485,0.0198106019909206,0.509415479766531,0.00151968912738534,0.00123649930344919,0.891477089591429,1.42074545936467,0,0
Sunflowers,125.250767666996,4058.83939510183,41.9103265148041,1.16543829569611,0.188122736693025,0.019694989537445,188.122736693025,0.0319687601209372,0.125185982851643,2.31303382051487,1.06274526888521,0.191559735300816,0.258253348890031,52,0
Tomatoes,487.004156977962,25585.9289292492,120.594835778147,9.02760183219306,0.786537367379787,0.0542265660437688,786.537367379787,0.483007908512644,8.54284842669741,5.98063749213009,2.80453106460806,21.6823841095389,21.697906875866,619,673
Walnuts,565.789413034259,50571.9914840588,102.639870817639,16.1082011915774,1.12930563330601,0.0956574518327133,1129.30563330601,0.176659101855769,40.764848950671,6.08461863737817,68.5007293186827,169.853537294463,210.797629798735,15623,3661
Wheat,891.226905632045,1665.74179371669,476.973747043702,4.30488814833338,1.24109861320515,0.0149402548497329,1241.09861320515,0.283762236516958,1.01541866394084,2.98108591902314,3.66902882341309,4.23091109975352,5.25079457233227,23,18
